thickness_cm,transmission,standard_error,seed,histories
1,0.8668266666666665,0.0005822653606427305,12345,300000
2,0.7575933333333335,0.0006741181269185552,13345,300000
5,0.51041,0.0008255872170009281,14345,300000
10,0.20818,0.0007432207017400601,15345,300000
20,0.014976666666666668,0.00021949175007842774,16345,300000
